1981	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0
1985	0	0	0	0	1	0	0
1986	1	0	0	0	2	0	0
1987	0	0	0	0	1	0	0
1988	0	0	0	0	0	0	0
1989	1	0	0	0	1	0	0
1990	0	0	0	1	0	0	0
1991	0	0	0	1	2	0	0
1992	0	0	1	0	0	0	0
1993	0	0	0	0	0	0	1
1994	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0
1996	1	0	1	0	0	0	0
1997	0	0	0	1	1	0	0
1998	0	0	0	0	0	0	0
1999	0	0	0	1	1	1	0
2000	0	0	0	0	0	0	0
2001	0	0	0	0	1	0	0
2002	0	0	0	0	0	0	1
2003	0	0	0	1	0	0	0
2004	0	1	0	0	0	0	0
2005	1	1	0	0	1	0	0
2006	0	1	0	0	1	0	0
2007	0	0	0	0	0	1	0
2008	1	1	0	0	1	0	0
2009	1	0	0	0	0	0	0
2010	0	1	0	1	0	0	0
2011	0	0	0	0	0	0	0
2012	0	1	0	0	0	0	0
2013	0	1	1	0	0	0	0
2014	0	1	2	0	0	0	0
2015	0	1	0	0	0	0	0
2016	0	1	1	0	0	0	0

