1981	0	0	0	0	0	0	0	0	0
1982	0	0	0	0	0	0	0	0	0
1983	0	0	0	0	0	0	0	0	0
1984	0	0	0	0	0	0	0	0	0
1985	0	1	0	0	0	0	0	0	0
1986	0	2	0	0	0	0	0	1	0
1987	1	0	0	0	1	0	0	0	0
1988	0	0	0	0	0	0	0	0	0
1989	2	0	0	0	0	0	0	0	0
1990	0	0	0	0	0	0	1	0	0
1991	1	0	1	0	2	0	0	0	0
1992	0	1	1	0	0	0	0	0	0
1993	0	0	0	0	0	0	0	0	0
1994	0	0	0	0	0	0	0	0	0
1995	0	0	0	0	0	0	0	0	0
1996	0	1	0	0	0	1	0	0	0
1997	0	1	0	0	0	0	0	0	0
1998	0	0	0	0	0	0	0	0	0
1999	0	1	0	0	0	0	0	1	0
2000	0	0	0	0	0	0	0	0	0
2001	0	1	0	0	0	0	0	0	0
2002	1	0	0	0	0	0	0	0	0
2003	0	2	1	0	0	0	1	0	0
2004	1	1	0	0	0	0	0	1	0
2005	0	0	2	2	0	0	1	0	0
2006	0	0	1	0	0	1	1	0	0
2007	0	0	0	0	0	0	0	0	0
2008	1	1	2	2	1	1	1	1	2
2009	0	0	2	0	0	0	0	0	1
2010	1	0	1	1	0	0	0	0	0
2011	0	0	1	0	0	0	0	0	0
2012	0	0	2	2	0	0	0	1	0
2013	0	1	2	1	0	0	0	0	0
2014	0	1	1	1	0	0	0	0	0
2015	0	0	0	0	0	0	0	0	0
2016	0	0	0	0	0	0	0	1	1

